T	NOAA NCDC DAILY FSOD AWND
julian_day	mph
   5.9246899E-41	    4.200000    
   5.9248300E-41	    7.500000    
   5.9249702E-41	    8.900001    
   5.9251103E-41	    7.900000    
   5.9252504E-41	    9.900001    
   5.9253906E-41	    9.900001    
   5.9255307E-41	    9.100000    
   5.9256708E-41	    11.10000    
   5.9258109E-41	    8.100000    
   5.9259511E-41	    4.500000    
   5.9260912E-41	    3.200000    
   5.9262313E-41	    6.600000    
   5.9263715E-41	    5.400000    
   5.9265116E-41	    5.800000    
   5.9266517E-41	    10.40000    
   5.9267919E-41	    5.100000    
   5.9269320E-41	    3.800000    
   5.9270721E-41	    4.600000    
   5.9272122E-41	    4.200000    
   5.9273524E-41	    3.700000    
   5.9274925E-41	    8.100000    
   5.9276326E-41	    8.000000    
   5.9277728E-41	    10.30000    
   5.9279129E-41	    5.300000    
   5.9280530E-41	    2.300000    
   5.9281932E-41	    9.600000    
   5.9283333E-41	    5.700000    
   5.9284734E-41	    11.50000    
   5.9286135E-41	    16.30000    
   5.9287537E-41	    12.90000    
   5.9288938E-41	    9.100000    
   5.9290339E-41	    9.500000    
   5.9291741E-41	    12.20000    
   5.9293142E-41	    8.600000    
   5.9294543E-41	    7.700000    
   5.9295945E-41	    12.30000    
   5.9297346E-41	    13.20000    
   5.9298747E-41	    9.800000    
   5.9300148E-41	    9.600000    
   5.9301550E-41	    7.900000    
   5.9302951E-41	    5.000000    
   5.9304352E-41	    12.50000    
   5.9305754E-41	    6.700000    
   5.9307155E-41	    13.60000    
   5.9308556E-41	    12.10000    
   5.9309958E-41	    8.800000    
   5.9311359E-41	    5.800000    
   5.9312760E-41	    4.200000    
   5.9314161E-41	    9.100000    
   5.9315563E-41	    10.90000    
   5.9316964E-41	    6.700000    
   5.9318365E-41	    7.300000    
   5.9319767E-41	    14.20000    
   5.9321168E-41	    17.00000    
   5.9322569E-41	    12.40000    
   5.9323970E-41	    10.30000    
   5.9325372E-41	    6.500000    
   5.9326773E-41	    5.100000    
   5.9328174E-41	    21.20000    
   5.9329576E-41	    21.30000    
   5.9330977E-41	    19.30000    
   5.9332378E-41	    16.90000    
   5.9333780E-41	    11.90000    
   5.9335181E-41	    10.10000    
   5.9336582E-41	    5.600000    
   5.9337983E-41	    5.700000    
   5.9339385E-41	    4.100000    
   5.9340786E-41	    7.600000    
   5.9342187E-41	    8.000000    
   5.9343589E-41	    6.800000    
   5.9344990E-41	    12.90000    
   5.9346391E-41	    4.600000    
   5.9347793E-41	    8.200000    
   5.9349194E-41	    8.700000    
   5.9350595E-41	    15.30000    
   5.9351996E-41	    10.70000    
   5.9353398E-41	    7.200000    
   5.9354799E-41	    3.600000    
   5.9356200E-41	    9.900001    
   5.9357602E-41	    4.900000    
   5.9359003E-41	    4.600000    
   5.9360404E-41	    3.300000    
   5.9361806E-41	    6.800000    
   5.9363207E-41	    11.30000    
   5.9364608E-41	    8.200000    
   5.9366009E-41	    16.40000    
   5.9367411E-41	    9.300000    
   5.9368812E-41	    4.900000    
   5.9370213E-41	    4.300000    
   5.9371615E-41	    9.200000    
   5.9373016E-41	    15.60000    
   5.9374417E-41	    14.80000    
   5.9375819E-41	    5.400000    
   5.9377220E-41	    11.90000    
   5.9378621E-41	    10.80000    
   5.9380022E-41	    5.500000    
   5.9381424E-41	    6.700000    
   5.9382825E-41	    8.000000    
   5.9384226E-41	    14.30000    
   5.9385628E-41	    9.100000    
   5.9387029E-41	    10.60000    
   5.9388430E-41	   10.000000    
   5.9389832E-41	    3.800000    
   5.9391233E-41	    7.000000    
   5.9392634E-41	    5.600000    
   5.9394035E-41	    5.200000    
   5.9395437E-41	    4.600000    
   5.9396838E-41	    3.200000    
   5.9398239E-41	    6.900000    
   5.9399641E-41	    9.500000    
   5.9401042E-41	    10.70000    
   5.9402443E-41	    8.500000    
   5.9403844E-41	    13.40000    
   5.9405246E-41	    10.30000    
   5.9406647E-41	    5.000000    
   5.9408048E-41	    3.600000    
   5.9409450E-41	    5.800000    
   5.9410851E-41	    5.200000    
   5.9412252E-41	    5.000000    
   5.9413654E-41	    9.100000    
   5.9415055E-41	    10.90000    
   5.9416456E-41	    13.30000    
   5.9417857E-41	    6.100000    
   5.9419259E-41	    4.200000    
   5.9420660E-41	    11.20000    
   5.9422061E-41	    7.900000    
   5.9423463E-41	    10.60000    
   5.9424864E-41	    12.00000    
   5.9426265E-41	    15.60000    
   5.9427667E-41	    10.70000    
   5.9429068E-41	    4.800000    
   5.9430469E-41	    6.200000    
   5.9431870E-41	    9.800000    
   5.9433272E-41	    5.000000    
   5.9434673E-41	    5.500000    
   5.9436074E-41	    5.000000    
   5.9437476E-41	    4.900000    
   5.9438877E-41	    11.40000    
   5.9440278E-41	    6.300000    
   5.9441680E-41	    8.400001    
   5.9443081E-41	    3.600000    
